YEAR,TEAM NO,TEAM,SEED,ROUND,EASY DRAW,TOUGH DRAW,DARK HORSE,UPSET ALERT,CINDERELLA
2023,956,Texas A&M,7,64,TRUE,FALSE,FALSE,FALSE,FALSE
2023,944,Xavier,3,16,TRUE,FALSE,FALSE,FALSE,FALSE
2023,994,Grand Canyon,14,64,FALSE,TRUE,FALSE,FALSE,FALSE
2023,991,Illinois,9,64,FALSE,TRUE,FALSE,FALSE,FALSE
2023,988,Iowa,8,64,FALSE,TRUE,FALSE,FALSE,FALSE
2023,981,Louisiana Lafayette,13,64,FALSE,TRUE,FALSE,FALSE,FALSE
2023,968,Oral Roberts,12,64,FALSE,TRUE,FALSE,FALSE,FALSE
2023,1008,Arkansas,8,16,FALSE,FALSE,TRUE,FALSE,FALSE
2023,1007,Auburn,9,32,FALSE,FALSE,TRUE,FALSE,FALSE
2023,1001,Creighton,6,8,FALSE,FALSE,TRUE,FALSE,FALSE
2023,999,Duke,5,32,FALSE,FALSE,TRUE,FALSE,FALSE
2023,982,Kentucky,6,32,FALSE,FALSE,TRUE,FALSE,FALSE
2023,950,USC,10,64,TRUE,FALSE,TRUE,FALSE,FALSE
2023,949,Utah St.,10,64,TRUE,FALSE,TRUE,FALSE,FALSE
2023,977,Miami FL,5,4,FALSE,FALSE,FALSE,TRUE,FALSE
2023,957,Texas,2,8,FALSE,FALSE,FALSE,TRUE,FALSE
2023,946,Virginia,4,64,FALSE,FALSE,FALSE,TRUE,FALSE
2023,980,Marquette,2,32,TRUE,FALSE,FALSE,TRUE,FALSE
2023,986,Kansas,1,32,FALSE,TRUE,FALSE,TRUE,FALSE
2023,1004,Colgate,15,64,FALSE,FALSE,FALSE,FALSE,TRUE
2023,983,Kent St.,13,64,FALSE,FALSE,FALSE,FALSE,TRUE
2023,965,Princeton,15,16,FALSE,FALSE,FALSE,FALSE,TRUE
2023,996,Furman,13,32,TRUE,FALSE,FALSE,FALSE,TRUE
2023,947,Vermont,15,64,TRUE,FALSE,FALSE,FALSE,TRUE
2022,939,Auburn,2,32,TRUE,FALSE,FALSE,FALSE,FALSE
2022,933,Colgate,14,64,TRUE,FALSE,FALSE,FALSE,FALSE
2022,928,Delaware,15,64,TRUE,FALSE,FALSE,FALSE,FALSE
2022,920,Iowa St.,11,16,TRUE,FALSE,FALSE,FALSE,FALSE
2022,918,Kansas,1,1,TRUE,FALSE,FALSE,FALSE,FALSE
2022,914,LSU,6,64,TRUE,FALSE,FALSE,FALSE,FALSE
2022,911,Miami FL,10,8,TRUE,FALSE,FALSE,FALSE,FALSE
2022,906,New Mexico St.,12,32,TRUE,FALSE,FALSE,FALSE,FALSE
2022,904,North Carolina,8,2,TRUE,FALSE,FALSE,FALSE,FALSE
2022,902,Ohio St.,7,32,TRUE,FALSE,FALSE,FALSE,FALSE
2022,895,San Diego St.,8,64,TRUE,FALSE,FALSE,FALSE,FALSE
2022,892,South Dakota St.,13,64,TRUE,FALSE,FALSE,FALSE,FALSE
2022,891,TCU,9,32,TRUE,FALSE,FALSE,FALSE,FALSE
2022,890,Tennessee,3,32,TRUE,FALSE,FALSE,FALSE,FALSE
2022,884,UCLA,4,16,TRUE,FALSE,FALSE,FALSE,FALSE
2022,883,USC,7,64,TRUE,FALSE,FALSE,FALSE,FALSE
2022,879,Wisconsin,3,32,TRUE,FALSE,FALSE,FALSE,FALSE
2022,937,Boise St.,8,64,FALSE,TRUE,FALSE,FALSE,FALSE
2022,923,Illinois,4,32,FALSE,TRUE,FALSE,FALSE,FALSE
2022,907,Murray St.,7,32,FALSE,TRUE,FALSE,FALSE,FALSE
2022,885,UAB,12,64,FALSE,TRUE,FALSE,FALSE,FALSE
2022,880,Virginia Tech,11,64,FALSE,TRUE,FALSE,FALSE,FALSE
2022,876,Yale,14,64,FALSE,TRUE,FALSE,FALSE,FALSE
