YEAR,TEAM NO,TEAM,SEED,ROUND,Z RATING RANK,SEED LIST,Z RATING,TYPE
2025,1102,Oregon,5,32,26,29,15.25,NEW
2025,1101,Purdue,4,16,23,14,15.53,NEW
2025,1100,Robert Morris,15,64,61,59,6.81,NEW
2025,1099,Saint Francis,16,68,68,68,3.62,NEW
2025,1098,Saint Mary's,7,32,30,27,14.02,NEW
2025,1097,San Diego St.,11,68,42,43,11.99,NEW
2025,1096,SIU Edwardsville,16,64,65,64,5.66,NEW
2025,1095,St. John's,2,32,16,8,16.29,NEW
2025,1094,Tennessee,2,8,3,5,22.41,NEW
2025,1093,Texas,11,68,33,41,13.78,NEW
2025,1092,Texas A&M,4,32,8,13,18.48,NEW
2025,1091,Texas Tech,3,8,10,9,18.45,NEW
2025,1090,Troy,14,64,52,56,8.59,NEW
2025,1089,UC San Diego,12,64,45,47,10.63,NEW
2025,1088,UCLA,7,32,22,25,15.4,NEW
2025,1087,UNC Wilmington,14,64,56,57,7.73,NEW
2025,1086,Utah St.,10,64,44,40,11.03,NEW
2025,1085,Vanderbilt,10,64,40,39,12.57,NEW
2025,1084,VCU,11,64,41,45,12.23,NEW
2025,1083,Wisconsin,3,32,15,12,16.7,NEW
2025,1082,Wofford,15,64,59,60,7.24,NEW
2025,1081,Xavier,11,64,38,42,13.05,NEW
2025,1080,Yale,13,64,47,51,10.24,NEW
2024,1079,Akron,14,64,63,56,5.51,NEW
2024,1078,Alabama,4,4,24,16,13.88,NEW
2024,1077,Arizona,2,16,4,6,19.78,NEW
2024,1076,Auburn,4,64,6,15,17.67,NEW
2024,1075,Baylor,3,32,12,9,16.02,NEW
2024,1074,Boise St.,10,68,25,38,13.65,NEW
2024,1073,BYU,6,64,7,17,17.21,NEW
2024,1072,Clemson,6,8,34,22,11.58,NEW
2024,1071,Colgate,14,64,58,58,6.49,NEW
2024,1070,College of Charleston,13,64,52,54,8,NEW
2024,1069,Colorado,10,32,33,39,12.11,NEW
2024,1068,Colorado St.,10,64,27,44,13.32,NEW
2024,1067,Connecticut,1,1,1,1,23.79,NEW
2024,1066,Creighton,3,16,15,10,15.49,NEW
2024,1065,Dayton,7,32,44,28,8.82,NEW
2024,1064,Drake,10,64,43,40,9.03,NEW
2024,1063,Duke,4,8,26,13,13.6,NEW
2024,1062,Duquesne,11,32,50,46,8.59,NEW
2024,1061,Florida,7,64,32,25,12.33,NEW
2024,1060,Florida Atlantic,8,64,41,31,10.41,NEW
2024,1059,Gonzaga,5,16,30,21,12.71,NEW
2024,1058,Grambling St.,16,64,66,66,4.31,NEW
2024,1057,Grand Canyon,12,32,49,47,8.61,NEW
2024,1056,Houston,1,16,3,2,21.55,NEW
2024,1055,Howard,16,68,67,67,4.17,NEW
2024,1054,Illinois,3,8,14,12,15.61,NEW
2024,1053,Iowa St.,2,16,10,8,16.98,NEW
2024,1052,James Madison,12,32,42,48,9.08,NEW
2024,1051,Kansas,4,32,11,14,16.92,NEW
2024,1050,Kentucky,3,64,28,11,13.25,NEW
2024,1049,Long Beach St.,15,64,59,59,6.26,NEW
2024,1048,Longwood,16,64,53,63,7.97,NEW
2024,1047,Marquette,2,16,5,7,18.47,NEW
2024,1046,McNeese St.,12,64,48,49,8.62,NEW
2024,1045,Michigan St.,9,32,13,33,15.79,NEW
2024,1044,Mississippi St.,8,64,22,32,14.23,NEW
2024,1043,Montana St.,16,68,62,65,5.6,NEW
2024,1042,Morehead St.,14,64,54,57,7.37,NEW
2024,1041,Nebraska,8,64,23,29,13.94,NEW
2024,1040,Nevada,10,64,40,37,10.52,NEW
2024,1039,New Mexico,11,64,36,42,11.35,NEW
2024,1038,North Carolina,1,16,8,4,17.15,NEW
2024,1037,North Carolina St.,11,4,35,45,11.42,NEW
2024,1036,Northwestern,9,32,31,36,12.5,NEW
2024,1035,Oakland,14,32,55,55,7.2,NEW
2024,1034,Oregon,11,32,37,43,11.28,NEW
2024,1033,Purdue,1,2,2,3,22,NEW
2024,1032,Saint Mary's,5,64,17,20,14.97,NEW
2024,1031,Saint Peter's,15,64,61,62,5.71,NEW
2024,1030,Samford,13,64,46,53,8.75,NEW
2024,1029,San Diego St.,5,16,21,18,14.24,NEW
2024,1028,South Carolina,6,64,39,24,10.52,NEW
2024,1027,South Dakota St.,15,64,57,61,6.5,NEW
2024,1026,Stetson,16,64,65,64,4.57,NEW
2024,1025,TCU,9,64,20,35,14.35,NEW
2024,1024,Tennessee,2,8,9,5,17.04,NEW
2024,1023,Texas,7,32,19,27,14.57,NEW
2024,1022,Texas A&M,9,32,18,34,14.57,NEW
2024,1021,Texas Tech,6,64,29,23,12.88,NEW
2024,1020,UAB,12,64,64,50,5.05,NEW
2024,1019,Utah St.,8,32,45,30,8.77,NEW
2024,1018,Vermont,13,64,56,51,6.91,NEW
2024,1017,Virginia,10,68,38,41,10.84,NEW
2024,1016,Wagner,16,64,68,68,4.09,NEW
2024,1015,Washington St.,7,32,47,26,8.68,NEW
2024,1014,Western Kentucky,15,64,60,60,5.9,NEW
2024,1013,Wisconsin,5,64,16,19,15,NEW
2024,1012,Yale,13,32,51,52,8.22,NEW
2023,1011,Alabama,1,16,8,1,16.5,NEW
2023,1010,Arizona,2,64,9,7,15.88,NEW
2023,1009,Arizona St.,11,64,35,45,12.37,NEW
2023,1008,Arkansas,8,16,30,30,12.92,NEW
2023,1007,Auburn,9,32,20,35,13.53,NEW
2023,1006,Baylor,3,32,12,9,14.75,NEW
2023,1005,Boise St.,10,64,41,37,10.29,NEW
2023,1004,Colgate,15,64,54,60,8.41,NEW
2023,1003,College of Charleston,12,64,49,47,9.26,NEW
2023,1002,Connecticut,4,1,1,13,20.57,NEW
2023,1001,Creighton,6,8,16,22,13.95,NEW
2023,1000,Drake,12,64,50,49,9.08,NEW
2023,999,Duke,5,32,40,18,11.46,NEW
2023,998,Fairleigh Dickinson,16,32,67,68,4.02,NEW
2023,997,Florida Atlantic,9,4,37,33,12.14,NEW
2023,996,Furman,13,32,55,53,7.87,NEW
2023,995,Gonzaga,3,8,19,10,13.59,NEW
2023,994,Grand Canyon,14,64,62,57,6.13,NEW
2023,993,Houston,1,16,5,2,16.84,NEW
2023,992,Howard,16,64,66,64,4.38,NEW
2023,991,Illinois,9,64,36,36,12.24,NEW
2023,990,Indiana,4,32,14,15,14.42,NEW
2023,989,Iona,13,64,53,52,8.57,NEW
2023,988,Iowa,8,64,29,32,12.96,NEW
2023,987,Iowa St.,6,64,6,21,16.63,NEW
2023,986,Kansas,1,32,3,3,18.16,NEW
2023,985,Kansas St.,3,8,24,11,13.4,NEW
2023,984,Kennesaw St.,14,64,58,55,7.52,NEW
2023,983,Kent St.,13,64,51,51,8.95,NEW
2023,982,Kentucky,6,32,27,23,13.07,NEW
2023,981,Louisiana Lafayette,13,64,52,54,8.92,NEW
2023,980,Marquette,2,32,17,8,13.74,NEW
2023,979,Maryland,8,32,28,31,13.02,NEW
2023,978,Memphis,8,64,15,29,14.33,NEW
2023,977,Miami FL,5,4,45,20,9.77,NEW
2023,976,Michigan St.,7,16,33,26,12.59,NEW
2023,975,Mississippi St.,11,68,25,43,13.21,NEW
2023,974,Missouri,7,32,38,27,12.12,NEW
2023,973,Montana St.,14,64,59,58,7.13,NEW
2023,972,Nevada,11,68,47,46,9.68,NEW
2023,971,North Carolina St.,11,64,43,41,9.84,NEW
2023,970,Northern Kentucky,16,64,61,63,6.58,NEW
2023,969,Northwestern,7,32,31,28,12.9,NEW
2023,968,Oral Roberts,12,64,44,48,9.83,NEW
2023,967,Penn St.,10,32,39,38,11.76,NEW
2023,966,Pittsburgh,11,32,48,44,9.5,NEW
2023,965,Princeton,15,16,64,61,5.83,NEW
2023,964,Providence,11,64,22,42,13.48,NEW
2023,963,Purdue,1,64,10,4,15.86,NEW
2023,962,Saint Mary's,5,32,13,19,14.59,NEW
2023,961,San Diego St.,5,2,26,17,13.16,NEW
2023,960,Southeast Missouri St.,16,68,65,67,4.88,NEW
2023,959,TCU,6,32,11,24,15.05,NEW
2023,958,Tennessee,4,16,2,14,18.97,NEW
2023,957,Texas,2,8,4,6,17.53,NEW
2023,956,Texas A&M,7,64,23,25,13.43,NEW
2023,955,Texas A&M Corpus Chris,16,64,60,65,6.8,NEW
2023,954,Texas Southern,16,68,68,66,3.98,NEW
2023,953,UC Santa Barbara,14,64,57,56,7.58,NEW
2023,952,UCLA,2,16,7,5,16.56,NEW
2023,951,UNC Asheville,15,64,63,62,5.88,NEW
2023,950,USC,10,64,34,39,12.4,NEW
2023,949,Utah St.,10,64,42,40,10.06,NEW
2023,948,VCU,12,64,46,50,9.69,NEW
2023,947,Vermont,15,64,56,59,7.86,NEW
2023,946,Virginia,4,64,32,16,12.81,NEW
2023,945,West Virginia,9,64,21,34,13.5,NEW
2023,944,Xavier,3,16,18,12,13.61,NEW
2022,943,Akron,13,64,62,54,5.46,NEW
2022,942,Alabama,6,64,31,21,11.42,NEW
2022,941,Arizona,1,16,22,2,12.78,NEW
2022,940,Arkansas,4,8,20,16,13.1,NEW
2022,939,Auburn,2,32,19,5,13.11,NEW
2022,938,Baylor,1,32,2,4,19.65,NEW
2022,937,Boise St.,8,64,28,29,12.18,NEW
2022,936,Bryant,16,68,66,66,4.07,NEW
2022,935,Cal St. Fullerton,15,64,63,62,4.94,NEW
2022,934,Chattanooga,13,64,44,51,8.52,NEW
2022,933,Colgate,14,64,57,57,6,NEW
2022,932,Colorado St.,6,64,48,24,7.66,NEW
2022,931,Connecticut,5,64,10,17,15.81,NEW
2022,930,Creighton,9,32,43,33,8.6,NEW
2022,929,Davidson,10,64,42,40,8.61,NEW
2022,928,Delaware,15,64,68,59,3.94,NEW
2022,927,Duke,2,4,6,8,16.84,NEW
2022,926,Georgia St.,16,64,56,63,6.27,NEW
2022,925,Gonzaga,1,16,9,1,16.54,NEW
2022,924,Houston,5,8,7,18,16.74,NEW
2022,923,Illinois,4,32,11,14,15.46,NEW
2022,922,Indiana,12,64,16,45,13.66,NEW
2022,921,Iowa,5,64,25,20,12.32,NEW
2022,920,Iowa St.,11,16,18,41,13.5,NEW
2022,919,Jacksonville St.,15,64,61,61,5.69,NEW
2022,918,Kansas,1,1,1,3,19.85,NEW
2022,917,Kentucky,2,64,3,6,19.43,NEW
2022,916,Longwood,14,64,49,55,7.63,NEW
2022,915,Loyola Chicago,10,64,34,39,10.97,NEW
2022,914,LSU,6,64,27,22,12.19,NEW
2022,913,Marquette,9,64,51,35,7.09,NEW
2022,912,Memphis,9,32,30,36,11.59,NEW
2022,911,Miami FL,10,8,52,38,7.03,NEW
2022,910,Michigan,11,16,21,42,12.79,NEW
2022,909,Michigan St.,7,32,32,27,11.26,NEW
2022,908,Montana St.,14,64,54,58,6.74,NEW
2022,907,Murray St.,7,32,33,26,11.12,NEW
2022,906,New Mexico St.,12,32,45,50,8.41,NEW
2022,905,Norfolk St.,16,64,65,64,4.59,NEW
2022,904,North Carolina,8,2,24,30,12.45,NEW
2022,903,Notre Dame,11,32,46,47,8.26,NEW
2022,902,Ohio St.,7,32,40,28,9.91,NEW
2022,901,Providence,4,16,47,15,7.8,NEW
2022,900,Purdue,3,16,5,11,17.38,NEW
2022,899,Richmond,12,32,58,49,5.94,NEW
2022,898,Rutgers,11,68,37,44,10.66,NEW
2022,897,Saint Mary's,5,32,26,19,12.21,NEW
2022,896,Saint Peter's,15,8,50,60,7.11,NEW
2022,895,San Diego St.,8,64,38,31,10.31,NEW
2022,894,San Francisco,10,64,23,37,12.52,NEW
2022,893,Seton Hall,8,64,29,32,11.88,NEW
2022,892,South Dakota St.,13,64,53,52,6.78,NEW
2022,891,TCU,9,32,15,34,13.84,NEW
2022,890,Tennessee,3,32,8,10,16.69,NEW
2022,889,Texas,6,32,14,23,13.91,NEW
2022,888,Texas A&M Corpus Chris,16,68,60,68,5.86,NEW
2022,887,Texas Southern,16,64,59,67,5.88,NEW
2022,886,Texas Tech,3,16,4,12,19.23,NEW
2022,885,UAB,12,64,41,48,8.91,NEW
2022,884,UCLA,4,16,13,13,14.02,NEW
2022,883,USC,7,64,36,25,10.75,NEW
2022,882,Vermont,13,64,39,53,10.23,NEW
2022,881,Villanova,2,4,12,7,14.37,NEW
2022,880,Virginia Tech,11,64,17,46,13.6,NEW
2022,879,Wisconsin,3,32,35,9,10.82,NEW
2022,878,Wright St.,16,64,64,65,4.66,NEW
2022,877,Wyoming,12,68,55,43,6.56,NEW
2022,876,Yale,14,64,67,56,3.96,NEW
2021,875,Abilene Christian,14,32,48,55,9.56,NEW
2021,874,Alabama,2,16,11,5,15.28,NEW
2021,873,Appalachian St.,16,68,66,68,5.31,NEW
2021,872,Arkansas,3,8,30,9,12.57,NEW
2021,871,Baylor,1,1,1,2,20.32,NEW
2021,870,BYU,6,64,18,23,14.06,NEW
2021,869,Clemson,7,64,21,27,13.57,NEW
2021,868,Cleveland St.,15,64,61,60,6.37,NEW
2021,867,Colgate,14,64,53,57,8.83,NEW
2021,866,Colorado,5,32,25,20,13.14,NEW
2021,865,Connecticut,7,64,15,26,14.78,NEW
2021,864,Creighton,5,16,5,17,16.91,NEW
2021,863,Drake,11,64,47,48,9.88,NEW
2021,862,Drexel,16,64,63,63,5.78,NEW
2021,861,Eastern Washington,14,64,57,58,8.36,NEW
2021,860,Florida,7,32,41,28,10.67,NEW
2021,859,Florida St.,4,16,29,13,12.61,NEW
2021,858,Georgetown,12,64,35,47,11.85,NEW
2021,857,Georgia Tech,9,64,22,34,13.47,NEW
2021,856,Gonzaga,1,2,3,1,17.7,NEW
2021,855,Grand Canyon,15,64,49,59,9.28,NEW
2021,854,Hartford,16,64,62,64,5.87,NEW
2021,853,Houston,2,4,4,8,17.08,NEW
2021,852,Illinois,1,32,2,3,17.9,NEW
2021,851,Iona,15,64,60,62,6.5,NEW
2021,850,Iowa,2,32,6,7,16.1,NEW
2021,849,Kansas,3,32,7,12,16.02,NEW
2021,848,Liberty,13,64,55,53,8.77,NEW
2021,847,Loyola Chicago,8,16,24,30,13.28,NEW
2021,846,LSU,8,32,31,29,12.55,NEW
2021,845,Maryland,10,32,39,36,10.92,NEW
2021,844,Michigan,1,8,12,4,15.26,NEW
2021,843,Michigan St.,11,68,42,43,10.54,NEW
2021,842,Missouri,9,64,28,33,13,NEW
2021,841,Morehead St.,14,64,65,56,5.47,NEW
2021,840,Mount St. Mary's,16,68,67,65,5.15,NEW
2021,839,Norfolk St.,16,64,64,67,5.56,NEW
2021,838,North Carolina,8,64,19,31,14.04,NEW
2021,837,North Texas,13,32,40,52,10.76,NEW
2021,836,Ohio,13,32,56,51,8.6,NEW
2021,835,Ohio St.,2,64,36,6,11.69,NEW
2021,834,Oklahoma,8,32,20,32,13.97,NEW
2021,833,Oklahoma St.,4,32,37,15,11.34,NEW
2021,832,Oral Roberts,15,16,59,61,6.83,NEW
2021,831,Oregon,7,16,46,25,10.2,NEW
2021,830,Oregon St.,12,8,44,46,10.42,NEW
2021,829,Purdue,4,64,33,14,12.23,NEW
2021,828,Rutgers,10,32,23,40,13.41,NEW
2021,827,San Diego St.,6,64,26,24,13.05,NEW
2021,826,St. Bonaventure,9,64,38,37,11.17,NEW
2021,825,Syracuse,11,16,34,41,11.97,NEW
2021,824,Tennessee,5,64,10,19,15.6,NEW
2021,823,Texas,3,64,16,11,14.63,NEW
2021,822,Texas Southern,16,64,68,66,5.14,NEW
2021,821,Texas Tech,6,32,27,22,13.01,NEW
2021,820,UC Santa Barbara,12,64,52,50,9.11,NEW
2021,819,UCLA,11,4,32,44,12.47,NEW
2021,818,UNC Greensboro,13,64,58,54,7.2,NEW
2021,817,USC,6,8,8,21,15.68,NEW
2021,816,Utah St.,11,64,43,42,10.5,NEW
2021,815,VCU,10,64,51,39,9.14,NEW
2021,814,Villanova,5,16,17,18,14.26,NEW
2021,813,Virginia,4,64,14,16,15.06,NEW
2021,812,Virginia Tech,10,64,45,38,10.42,NEW
2021,811,West Virginia,3,32,13,10,15.25,NEW
