YEAR,WEEK,TEAM NO,TEAM,SEED,ROUND,W,L,AP VOTES,AP RANK,RANK?
2026,1,1173,Purdue,2,0,0,0,1485,1,1
2026,1,1199,Houston,2,0,0,0,1459,2,1
2026,1,1206,Florida,1,0,0,0,1382,3,1
2026,1,1208,Connecticut,2,0,0,0,1299,4,1
2026,1,1165,St. John's,5,0,0,0,1203,5,1
2026,1,1207,Duke,1,0,0,0,1123,6,1
2026,1,1184,Michigan,1,0,0,0,1084,7,1
2026,1,1211,BYU,6,0,0,0,1078,8,1
2026,1,1191,Kentucky,7,0,0,0,1056,9,1
2026,1,1159,Texas Tech,5,0,0,0,1015,10,1
2026,1,1188,Louisville,6,0,0,0,966,11,1
2026,1,1156,UCLA,7,0,0,0,741,12,1
2026,1,1213,Arizona,1,0,0,0,715,13,1
2026,1,1212,Arkansas,4,0,0,0,695,14,1
2026,1,1214,Alabama,4,0,0,0,620,15,1
2026,1,1194,Iowa St.,2,0,0,0,616,16,1
2026,1,1196,Illinois,3,0,0,0,567,17,1
2026,1,1163,Tennessee,6,0,0,0,462,18,1
2026,1,1193,Kansas,4,0,0,0,453,19,1
2026,1,,Auburn,,,0,0,424,20,1
2026,1,1203,Gonzaga,3,0,0,0,387,21,1
2026,1,1183,Michigan St.,3,0,0,0,188,22,1
2026,1,,Creighton,,,0,0,158,23,1
2026,1,1149,Wisconsin,5,0,0,0,136,24,1
2026,1,1180,North Carolina,6,0,0,0,104,25,1
2026,1,,Maryland,,,,,0,46,0
2026,1,1160,Texas A&M,10,0,,,0,46,0
2026,1,1209,Clemson,8,0,,,0,46,0
2026,1,,Memphis,,,,,0,46,0
2026,1,,Mississippi,,,,,11,32,0
2026,1,1170,Saint Mary's,7,0,,,2,40,0
2026,1,,Baylor,,,,,1,43,0
2026,1,,Boise St.,,,,,4,38,0
2026,1,,Indiana,,,,,1,43,0
2026,1,1195,Iowa,9,0,,,6,37,0
2026,1,,Kansas St.,,,,,13,31,0
2026,1,,Mississippi St.,,,,,3,39,0
2026,1,1182,Missouri,10,0,,,8,34,0
2026,1,1179,North Carolina St.,11,0,,,101,26,0
2026,1,1176,Ohio St.,8,0,,,23,30,0
2026,1,,Oklahoma,,,,,1,43,0
2026,1,,Oregon,,,,,98,27,0
2026,1,,San Diego St.,,,,,74,28,0
2026,1,1161,Texas,11,0,,,35,29,0
2026,1,,USC,,,,,10,33,0
2026,1,1153,Vanderbilt,5,0,,,7,35,0
2026,1,1152,VCU,11,0,,,2,40,0
2026,1,1150,Virginia,3,0,,,2,40,0
2026,1,,Washington,,,,,7,35,0
2026,2,1199,Houston,2,0,2,0,1462,1,1
2026,2,1173,Purdue,2,0,2,0,1459,2,1
2026,2,1208,Connecticut,2,0,2,0,1361,3,1
2026,2,1207,Duke,1,0,2,0,1223,4,1
2026,2,1213,Arizona,1,0,2,0,1204,5,1
2026,2,1184,Michigan,1,0,1,0,1121,6,1
2026,2,1211,BYU,6,0,2,0,1111,7,1
2026,2,1214,Alabama,4,0,2,0,1087,8,1
2026,2,1191,Kentucky,7,0,2,0,1072,9,1
2026,2,1206,Florida,1,0,1,1,990,10,1
2026,2,1159,Texas Tech,5,0,2,0,969,11,1
2026,2,1188,Louisville,6,0,2,0,856,12,1
2026,2,1165,St. John's,5,0,1,1,812,13,1
2026,2,1196,Illinois,3,0,2,0,610,14,1
2026,2,1156,UCLA,7,0,2,0,609,15,1
2026,2,1194,Iowa St.,2,0,2,0,605,16,1
2026,2,1183,Michigan St.,3,0,2,0,557,17,1
2026,2,1180,North Carolina,6,0,2,0,494,18,1
2026,2,1203,Gonzaga,3,0,2,0,466,19,1
2026,2,1163,Tennessee,6,0,2,0,456,20,1
2026,2,1212,Arkansas,4,0,1,1,324,21,1
2026,2,,Auburn,,,2,0,207,22,1
2026,2,,Creighton,,,1,0,153,23,1
2026,2,1149,Wisconsin,5,0,2,0,140,24,1
2026,2,1193,Kansas,4,0,1,1,130,25,1
2026,2,1209,Clemson,8,0,,,0,46,0
2026,2,1170,Saint Mary's,7,0,,,0,46,0
2026,2,1150,Virginia,3,0,,,0,46,0
2026,2,,Baylor,,,,,14,32,0
2026,2,,Georgetown,,,,,1,39,0
2026,2,1204,Georgia,8,0,,,2,38,0
2026,2,,Indiana,,,,,45,28,0
2026,2,1195,Iowa,9,0,,,1,39,0
2026,2,,Kansas St.,,,,,5,34,0
2026,2,,Mississippi,,,,,4,35,0
2026,2,,Mississippi St.,,,,,3,37,0
2026,2,1182,Missouri,10,0,,,4,35,0
2026,2,1179,North Carolina St.,11,0,,,87,26,0
2026,2,1176,Ohio St.,8,0,,,17,31,0
2026,2,,Oklahoma St.,,,,,1,39,0
2026,2,,Oregon,,,,,43,29,0
2026,2,,San Diego St.,,,,,67,27,0
2026,2,,Stanford,,,,,1,39,0
2026,2,1161,Texas,11,0,,,1,39,0
2026,2,,USC,,,,,12,33,0
2026,2,1154,Utah St.,9,0,,,1,39,0
2026,2,1153,Vanderbilt,5,0,,,37,30,0
2026,2,,Virginia Tech,,,,,1,39,0
2026,3,1173,Purdue,2,0,4,0,1502,1,1
2026,3,1199,Houston,2,0,4,0,1457,2,1
2026,3,1208,Connecticut,2,0,4,0,1389,3,1
2026,3,1213,Arizona,1,0,4,0,1314,4,1
2026,3,1207,Duke,1,0,4,0,1277,5,1
2026,3,1188,Louisville,6,0,4,0,1161,6,1
2026,3,1184,Michigan,1,0,3,0,1103,7,1
2026,3,1196,Illinois,3,0,4,0,1017,8,1
2026,3,1211,BYU,6,0,3,1,972,9,1
2026,3,1206,Florida,1,0,3,1,949,10,1
2026,3,1214,Alabama,4,0,2,1,928,11,1
2026,3,1191,Kentucky,7,0,3,1,798,12,1
2026,3,1203,Gonzaga,3,0,4,0,772,13,1
2026,3,1165,St. John's,5,0,2,1,732,14,1
2026,3,1159,Texas Tech,5,0,3,1,678,15,1
2026,3,1194,Iowa St.,2,0,3,0,664,16,1
2026,3,1183,Michigan St.,3,0,3,0,585,17,1
2026,3,1180,North Carolina,6,0,4,0,516,18,1
2026,3,1156,UCLA,7,0,3,1,423,19,1
2026,3,1163,Tennessee,6,0,3,0,416,20,1
2026,3,1212,Arkansas,4,0,3,1,247,21,1
2026,3,,Auburn,,,3,1,188,22,1
2026,3,1149,Wisconsin,5,0,3,0,180,23,1
2026,3,1193,Kansas,4,0,3,1,132,24,1
2026,3,1179,North Carolina St.,11,0,3,0,97,25,1
2026,3,1171,Saint Louis,9,0,,,0,45,0
2026,3,,Creighton,,,,,12,33,0
2026,3,,Baylor,,,,,11,34,0
2026,3,,Georgetown,,,,,16,31,0
2026,3,1204,Georgia,8,0,,,2,39,0
2026,3,,Indiana,,,,,65,27,0
2026,3,1195,Iowa,9,0,,,3,38,0
2026,3,,Kansas St.,,,,,1,41,0
2026,3,,Mississippi St.,,,,,5,37,0
2026,3,1182,Missouri,10,0,,,7,36,0
2026,3,1176,Ohio St.,8,0,,,21,30,0
2026,3,,Oregon,,,,,28,29,0
2026,3,1170,Saint Mary's,7,0,,,8,35,0
2026,3,,San Diego St.,,,,,71,26,0
2026,3,,Stanford,,,,,1,41,0
2026,3,,USC,,,,,16,31,0
2026,3,1154,Utah St.,9,0,,,2,39,0
2026,3,1153,Vanderbilt,5,0,,,57,28,0
2026,3,1150,Virginia,3,0,,,1,41,0
2026,3,,Virginia Tech,,,,,1,41,0
2026,4,1173,Purdue,2,0,6,0,1509,1,1
2026,4,1213,Arizona,1,0,5,0,1439,2,1
2026,4,1199,Houston,2,0,5,0,1425,3,1
2026,4,1207,Duke,1,0,7,0,1319,4,1
2026,4,1208,Connecticut,2,0,5,1,1208,5,1
2026,4,1188,Louisville,6,0,5,0,1201,6,1
2026,4,1184,Michigan,1,0,4,0,1080,7,1
2026,4,1214,Alabama,4,0,3,1,1070,8,1
2026,4,1211,BYU,6,0,4,1,1033,9,1
2026,4,1206,Florida,1,0,4,1,961,10,1
2026,4,1183,Michigan St.,3,0,5,0,879,11,1
2026,4,1203,Gonzaga,3,0,5,0,863,12,1
2026,4,1196,Illinois,3,0,5,1,830,13,1
2026,4,1165,St. John's,5,0,3,1,743,14,1
2026,4,1194,Iowa St.,2,0,4,0,706,15,1
2026,4,1180,North Carolina,6,0,5,0,595,16,1
2026,4,1163,Tennessee,6,0,5,0,495,17,1
2026,4,1156,UCLA,7,0,5,1,488,18,1
2026,4,1191,Kentucky,7,0,4,2,394,19,1
2026,4,1159,Texas Tech,5,0,4,2,319,20,1
2026,4,,Auburn,,,4,1,269,21,1
2026,4,1212,Arkansas,4,0,5,1,260,22,1
2026,4,1179,North Carolina St.,11,0,4,0,214,23,1
2026,4,1153,Vanderbilt,5,0,5,0,111,24,1
2026,4,,Indiana,,,5,0,100,25,1
2026,4,,Butler,,,,,0,45,0
2026,4,1171,Saint Louis,9,0,,,0,45,0
2026,4,1167,SMU,11,0,,,0,45,0
2026,4,1150,Virginia,3,0,,,0,45,0
2026,4,1149,Wisconsin,5,0,,,45,26,0
2026,4,1193,Kansas,4,0,,,34,27,0
2026,4,,Baylor,,,,,14,35,0
2026,4,,Buffalo,,,,,1,44,0
2026,4,1209,Clemson,8,0,,,6,38,0
2026,4,,Creighton,,,,,3,40,0
2026,4,,Georgetown,,,,,31,28,0
2026,4,1195,Iowa,9,0,,,6,38,0
2026,4,,Mississippi,,,,,10,36,0
2026,4,1182,Missouri,10,0,,,20,33,0
2026,4,1181,Nebraska,4,0,,,27,30,0
2026,4,1176,Ohio St.,8,0,,,26,32,0
2026,4,,Oklahoma St.,,,,,2,42,0
2026,4,,Oregon,,,,,31,28,0
2026,4,1170,Saint Mary's,7,0,,,27,30,0
2026,4,1169,Santa Clara,10,0,,,3,40,0
2026,4,,USC,,,,,10,36,0
2026,4,1154,Utah St.,9,0,,,16,34,0
2026,4,,Virginia Tech,,,,,2,42,0
2026,5,1173,Purdue,2,0,7,0,1494,1,1
2026,5,1213,Arizona,1,0,7,0,1442,2,1
2026,5,1184,Michigan,1,0,7,0,1417,3,1
2026,5,1207,Duke,1,0,8,0,1355,4,1
2026,5,1208,Connecticut,2,0,6,1,1244,5,1
2026,5,1188,Louisville,6,0,7,0,1177,6,1
2026,5,1183,Michigan St.,3,0,7,0,1095,7,1
2026,5,1199,Houston,2,0,7,1,1085,8,1
2026,5,1211,BYU,6,0,6,1,1036,9,1
2026,5,1194,Iowa St.,2,0,7,0,975,10,1
2026,5,1203,Gonzaga,3,0,7,1,934,11,1
2026,5,1214,Alabama,4,0,5,2,868,12,1
2026,5,1163,Tennessee,6,0,7,1,771,13,1
2026,5,1196,Illinois,3,0,6,2,656,14,1
2026,5,1206,Florida,1,0,5,2,567,15,1
2026,5,1180,North Carolina,6,0,6,1,518,16,1
2026,5,1153,Vanderbilt,5,0,8,0,474,17,1
2026,5,1191,Kentucky,7,0,5,2,451,18,1
2026,5,1159,Texas Tech,5,0,6,2,386,19,1
2026,5,,Auburn,,,6,2,375,20,1
2026,5,1193,Kansas,4,0,6,2,339,21,1
2026,5,,Indiana,,,7,0,312,22,1
2026,5,1165,St. John's,5,0,4,3,200,23,1
2026,5,,USC,,,7,0,144,24,1
2026,5,1212,Arkansas,4,0,5,2,127,25,1
2026,5,,Butler,,,,,0,46,0
2026,5,,Mississippi,,,,,0,46,0
2026,5,1150,Virginia,3,0,,,0,46,0
2026,5,1156,UCLA,7,0,,,59,27,0
2026,5,1179,North Carolina St.,11,0,,,5,40,0
2026,5,,Baylor,,,,,13,33,0
2026,5,,Buffalo,,,,,1,43,0
2026,5,,California,,,,,2,42,0
2026,5,1209,Clemson,8,0,,,10,36,0
2026,5,,Colorado,,,,,1,43,0
2026,5,,George Mason,,,,,1,43,0
2026,5,1195,Iowa,9,0,,,99,26,0
2026,5,,LSU,,,,,7,37,0
2026,5,1182,Missouri,10,0,,,28,30,0
2026,5,1181,Nebraska,4,0,,,52,28,0
2026,5,,Oklahoma St.,,,,,12,34,0
2026,5,1170,Saint Mary's,7,0,,,15,32,0
2026,5,,Seton Hall,,,,,6,38,0
2026,5,1167,SMU,11,0,,,12,34,0
2026,5,1164,TCU,9,0,,,35,29,0
2026,5,1154,Utah St.,9,0,,,16,31,0
2026,5,,Wake Forest,,,,,3,41,0
2026,5,1149,Wisconsin,5,0,,,6,38,0
2026,6,1213,Arizona,1,0,8,0,1461,1,1
2026,6,1184,Michigan,1,0,8,0,1440,2,1
2026,6,1207,Duke,1,0,10,0,1400,3,1
2026,6,1194,Iowa St.,2,0,9,0,1304,4,1
2026,6,1208,Connecticut,2,0,8,1,1263,5,1
2026,6,1173,Purdue,2,0,8,1,1173,6,1
2026,6,1199,Houston,2,0,8,1,1064,7,1
2026,6,1203,Gonzaga,3,0,9,1,1054,8,1
2026,6,1183,Michigan St.,3,0,8,1,1017,9,1
2026,6,1211,BYU,6,0,7,1,1007,10,1
2026,6,1188,Louisville,6,0,8,1,877,11,1
2026,6,1214,Alabama,4,0,7,2,854,12,1
2026,6,1196,Illinois,3,0,7,2,771,13,1
2026,6,1180,North Carolina,6,0,8,1,724,14,1
2026,6,1153,Vanderbilt,5,0,9,0,686,15,1
2026,6,1159,Texas Tech,5,0,7,2,508,16,1
2026,6,1212,Arkansas,4,0,7,2,488,17,1
2026,6,1206,Florida,1,0,5,3,422,18,1
2026,6,1193,Kansas,4,0,7,3,380,19,1
2026,6,1163,Tennessee,6,0,7,3,286,20,1
2026,6,,Auburn,,,7,3,264,21,1
2026,6,1165,St. John's,5,0,5,3,254,22,1
2026,6,1181,Nebraska,4,0,9,0,180,23,1
2026,6,1150,Virginia,3,0,8,1,130,24,1
2026,6,1156,UCLA,7,0,7,2,79,25,1
2026,6,,Baylor,,,,,0,46,0
2026,6,1182,Missouri,10,0,,,0,46,0
2026,6,1176,Ohio St.,8,0,,,0,46,0
2026,6,1154,Utah St.,9,0,,,0,46,0
2026,6,,Yale,,,,,0,46,0
2026,6,1191,Kentucky,7,0,,,29,32,0
2026,6,,Indiana,,,,,18,34,0
2026,6,,USC,,,,,50,28,0
2026,6,,Arizona St.,,,,,2,42,0
2026,6,,California,,,,,6,38,0
2026,6,1209,Clemson,8,0,,,14,35,0
2026,6,1204,Georgia,8,0,,,49,29,0
2026,6,1195,Iowa,9,0,,,60,26,0
2026,6,,LSU,,,,,14,35,0
2026,6,1186,Miami FL,7,0,,,4,39,0
2026,6,1185,Miami OH,11,0,,,2,42,0
2026,6,,Notre Dame,,,,,4,39,0
2026,6,,Oklahoma St.,,,,,54,27,0
2026,6,1170,Saint Mary's,7,0,,,38,30,0
2026,6,,Seton Hall,,,,,31,31,0
2026,6,1167,SMU,11,0,,,3,41,0
2026,6,,St. Bonaventure,,,,,1,45,0
2026,6,1164,TCU,9,0,,,2,42,0
2026,6,1151,Villanova,8,0,,,9,37,0
2026,6,1149,Wisconsin,5,0,,,24,33,0
2026,7,1213,Arizona,1,0,9,0,1500,1,1
2026,7,1184,Michigan,1,0,10,0,1470,2,1
2026,7,1207,Duke,1,0,10,0,1406,3,1
2026,7,1194,Iowa St.,2,0,11,0,1336,4,1
2026,7,1208,Connecticut,2,0,10,1,1286,5,1
2026,7,1173,Purdue,2,0,10,1,1195,6,1
2026,7,1203,Gonzaga,3,0,10,1,1109,7,1
2026,7,1199,Houston,2,0,10,1,1079,8,1
2026,7,1183,Michigan St.,3,0,9,1,1037,9,1
2026,7,1211,BYU,6,0,9,1,1017,10,1
2026,7,1188,Louisville,6,0,9,1,921,11,1
2026,7,1180,North Carolina,6,0,9,1,794,12,1
2026,7,1153,Vanderbilt,5,0,10,0,766,13,1
2026,7,1212,Arkansas,4,0,8,2,726,14,1
2026,7,1181,Nebraska,4,0,11,0,655,15,1
2026,7,1214,Alabama,4,0,7,3,644,16,1
2026,7,1193,Kansas,4,0,8,3,502,17,1
2026,7,1196,Illinois,3,0,8,3,483,18,1
2026,7,1159,Texas Tech,5,0,7,3,314,19,1
2026,7,1163,Tennessee,6,0,7,3,286,20,1
2026,7,,Auburn,,,8,3,283,21,1
2026,7,1165,St. John's,5,0,6,3,250,22,1
2026,7,1206,Florida,1,0,6,4,200,23,1
2026,7,1150,Virginia,3,0,9,1,200,23,1
2026,7,1204,Georgia,8,0,9,1,82,25,1
2026,7,,Colorado,,,,,0,44,0
2026,7,1182,Missouri,10,0,,,0,44,0
2026,7,1179,North Carolina St.,11,0,,,0,44,0
2026,7,1176,Ohio St.,8,0,,,0,44,0
2026,7,,Oklahoma St.,,,,,0,44,0
2026,7,1167,SMU,11,0,,,0,44,0
2026,7,,Virginia Tech,,,,,0,44,0
2026,7,,Yale,,,,,0,44,0
2026,7,1156,UCLA,7,0,,,16,31,0
2026,7,,Arizona St.,,,,,5,35,0
2026,7,,California,,,,,13,33,0
2026,7,1209,Clemson,8,0,,,14,32,0
2026,7,,Indiana,,,,,4,37,0
2026,7,1195,Iowa,9,0,,,47,27,0
2026,7,1191,Kentucky,7,0,,,19,29,0
2026,7,,LSU,,,,,19,29,0
2026,7,1186,Miami FL,7,0,,,4,37,0
2026,7,1185,Miami OH,11,0,,,4,37,0
2026,7,,Notre Dame,,,,,4,37,0
2026,7,1171,Saint Louis,9,0,,,1,42,0
2026,7,1170,Saint Mary's,7,0,,,12,34,0
2026,7,,Seton Hall,,,,,46,28,0
2026,7,,USC,,,,,68,26,0
2026,7,1154,Utah St.,9,0,,,2,41,0
2026,7,1151,Villanova,8,0,,,5,35,0
2026,7,1149,Wisconsin,5,0,,,1,42,0
2026,8,1213,Arizona,1,0,11,0,1428,1,1
2026,8,1184,Michigan,1,0,11,0,1408,2,1
2026,8,1194,Iowa St.,2,0,12,0,1320,3,1
2026,8,1208,Connecticut,2,0,12,1,1281,4,1
2026,8,1173,Purdue,2,0,11,1,1174,5,1
2026,8,1207,Duke,1,0,11,1,1148,6,1
2026,8,1203,Gonzaga,3,0,12,1,1080,7,1
2026,8,1199,Houston,2,0,11,1,1061,8,1
2026,8,1183,Michigan St.,3,0,11,1,985,9,1
2026,8,1211,BYU,6,0,11,1,966,10,1
2026,8,1153,Vanderbilt,5,0,12,0,810,11,1
2026,8,1180,North Carolina,6,0,11,1,806,12,1
2026,8,1181,Nebraska,4,0,12,0,704,13,1
2026,8,1214,Alabama,4,0,9,3,638,14,1
2026,8,1159,Texas Tech,5,0,9,3,588,15,1
2026,8,1188,Louisville,6,0,10,2,555,16,1
2026,8,1193,Kansas,4,0,9,3,494,17,1
2026,8,1212,Arkansas,4,0,9,3,470,18,1
2026,8,1163,Tennessee,6,0,9,3,460,19,1
2026,8,1196,Illinois,3,0,8,3,429,20,1
2026,8,1150,Virginia,3,0,10,1,252,21,1
2026,8,1206,Florida,1,0,8,4,215,22,1
2026,8,1204,Georgia,8,0,10,1,127,23,1
2026,8,,USC,,,12,1,92,24,1
2026,8,1195,Iowa,9,0,10,2,79,25,1
2026,8,1170,Saint Mary's,7,0,,,0,45,0
2026,8,,Yale,,,,,0,45,0
2026,8,,Auburn,,,,,39,28,0
2026,8,1165,St. John's,5,0,,,23,29,0
2026,8,,Arizona St.,,,,,5,35,0
2026,8,,Baylor,,,,,1,41,0
2026,8,,Belmont,,,,,2,40,0
2026,8,,California,,,,,19,30,0
2026,8,1209,Clemson,8,0,,,9,33,0
2026,8,,Indiana,,,,,4,37,0
2026,8,1191,Kentucky,7,0,,,78,26,0
2026,8,,LSU,,,,,17,31,0
2026,8,1186,Miami FL,7,0,,,4,37,0
2026,8,1185,Miami OH,11,0,,,6,34,0
2026,8,1179,North Carolina St.,11,0,,,1,41,0
2026,8,,Oklahoma St.,,,,,1,41,0
2026,8,1171,Saint Louis,9,0,,,3,39,0
2026,8,,Seton Hall,,,,,49,27,0
2026,8,1157,UCF,10,0,,,1,41,0
2026,8,1156,UCLA,7,0,,,13,32,0
2026,8,1154,Utah St.,9,0,,,5,35,0
2026,9,1213,Arizona,1,0,14,0,1494,1,1
2026,9,1184,Michigan,1,0,13,0,1493,2,1
2026,9,1194,Iowa St.,2,0,14,0,1390,3,1
2026,9,1208,Connecticut,2,0,14,1,1343,4,1
2026,9,1173,Purdue,2,0,13,1,1254,5,1
2026,9,1207,Duke,1,0,13,1,1206,6,1
2026,9,1199,Houston,2,0,13,1,1113,7,1
2026,9,1203,Gonzaga,3,0,16,1,1101,8,1
2026,9,1211,BYU,6,0,13,1,1039,9,1
2026,9,1181,Nebraska,4,0,14,0,998,10,1
2026,9,1153,Vanderbilt,5,0,14,0,936,11,1
2026,9,1183,Michigan St.,3,0,12,2,834,12,1
2026,9,1214,Alabama,4,0,11,3,782,13,1
2026,9,1159,Texas Tech,5,0,11,3,676,14,1
2026,9,1212,Arkansas,4,0,11,3,659,15,1
2026,9,1196,Illinois,3,0,11,3,602,16,1
2026,9,1180,North Carolina,6,0,13,2,557,17,1
2026,9,1204,Georgia,8,0,13,1,378,18,1
2026,9,1195,Iowa,9,0,12,2,340,19,1
2026,9,1188,Louisville,6,0,11,3,336,20,1
2026,9,1163,Tennessee,6,0,10,4,277,21,1
2026,9,1193,Kansas,4,0,10,4,208,22,1
2026,9,1150,Virginia,3,0,12,2,183,23,1
2026,9,1167,SMU,11,0,12,2,142,24,1
2026,9,1157,UCF,10,0,12,1,132,25,1
2026,9,1182,Missouri,10,0,,,0,45,0
2026,9,,Oklahoma St.,,,,,0,45,0
2026,9,1165,St. John's,5,0,,,0,45,0
2026,9,1206,Florida,1,0,,,11,35,0
2026,9,,USC,,,,,28,28,0
2026,9,,Auburn,,,,,3,41,0
2026,9,,California,,,,,8,38,0
2026,9,1209,Clemson,8,0,,,21,31,0
2026,9,,Indiana,,,,,4,40,0
2026,9,1191,Kentucky,7,0,,,9,37,0
2026,9,,LSU,,,,,14,32,0
2026,9,1186,Miami FL,7,0,,,5,39,0
2026,9,1185,Miami OH,11,0,,,22,30,0
2026,9,1171,Saint Louis,9,0,,,14,32,0
2026,9,1170,Saint Mary's,7,0,,,10,36,0
2026,9,,Seton Hall,,,,,31,27,0
2026,9,1164,TCU,9,0,,,2,42,0
2026,9,1161,Texas,11,0,,,12,34,0
2026,9,1156,UCLA,7,0,,,2,42,0
2026,9,1154,Utah St.,9,0,,,27,29,0
2026,9,1151,Villanova,8,0,,,127,26,0
2026,9,,Virginia Tech,,,,,2,42,0
2026,10,1213,Arizona,1,0,16,0,1524,1,1
2026,10,1194,Iowa St.,2,0,16,0,1448,2,1
2026,10,1208,Connecticut,2,0,16,1,1358,3,1
2026,10,1184,Michigan,1,0,14,1,1300,4,1
2026,10,1173,Purdue,2,0,15,1,1253,5,1
2026,10,1207,Duke,1,0,15,1,1237,6,1
2026,10,1199,Houston,2,0,15,1,1130,7,1
2026,10,1181,Nebraska,4,0,16,0,1056,8,1
2026,10,1203,Gonzaga,3,0,17,1,1050,9,1
2026,10,1153,Vanderbilt,5,0,16,0,1035,10,1
2026,10,1211,BYU,6,0,15,1,1013,11,1
2026,10,1183,Michigan St.,3,0,14,2,865,12,1
2026,10,1196,Illinois,3,0,13,3,778,13,1
2026,10,1180,North Carolina,6,0,14,2,659,14,1
2026,10,1159,Texas Tech,5,0,12,4,609,15,1
2026,10,1150,Virginia,3,0,14,2,515,16,1
2026,10,1212,Arkansas,4,0,12,4,492,17,1
2026,10,1214,Alabama,4,0,11,5,470,18,1
2026,10,1206,Florida,1,0,11,5,349,19,1
2026,10,1188,Louisville,6,0,12,4,336,20,1
2026,10,1204,Georgia,8,0,14,2,227,21,1
2026,10,1209,Clemson,8,0,14,3,218,22,1
2026,10,1154,Utah St.,9,0,14,1,161,23,1
2026,10,1163,Tennessee,6,0,11,5,140,24,1
2026,10,,Seton Hall,,,14,2,136,25,1
2026,10,,Indiana,,,,,0,42,0
2026,10,1176,Ohio St.,8,0,,,0,42,0
2026,10,1195,Iowa,9,0,,,58,28,0
2026,10,1193,Kansas,4,0,,,60,27,0
2026,10,1167,SMU,11,0,,,15,36,0
2026,10,1157,UCF,10,0,,,18,34,0
2026,10,,Auburn,,,,,14,37,0
2026,10,,George Mason,,,,,8,38,0
2026,10,1186,Miami FL,7,0,,,30,32,0
2026,10,1185,Miami OH,11,0,,,49,29,0
2026,10,1179,North Carolina St.,11,0,,,3,39,0
2026,10,1171,Saint Louis,9,0,,,92,26,0
2026,10,1170,Saint Mary's,7,0,,,17,35,0
2026,10,1165,St. John's,5,0,,,1,40,0
2026,10,1160,Texas A&M,10,0,,,23,33,0
2026,10,,USC,,,,,1,40,0
2026,10,1151,Villanova,8,0,,,40,30,0
2026,10,1149,Wisconsin,5,0,,,37,31,0
2026,11,1213,Arizona,1,0,18,0,1525,1,1
2026,11,1208,Connecticut,2,0,18,1,1419,2,1
2026,11,1184,Michigan,1,0,16,1,1377,3,1
2026,11,1173,Purdue,2,0,17,1,1318,4,1
2026,11,1207,Duke,1,0,17,1,1296,5,1
2026,11,1199,Houston,2,0,17,1,1217,6,1
2026,11,1181,Nebraska,4,0,18,0,1207,7,1
2026,11,1203,Gonzaga,3,0,19,1,1103,8,1
2026,11,1194,Iowa St.,2,0,16,2,1001,9,1
2026,11,1183,Michigan St.,3,0,16,2,998,10,1
2026,11,1196,Illinois,3,0,15,3,893,11,1
2026,11,1159,Texas Tech,5,0,14,4,805,12,1
2026,11,1211,BYU,6,0,16,2,791,13,1
2026,11,1150,Virginia,3,0,16,2,713,14,1
2026,11,1153,Vanderbilt,5,0,16,2,656,15,1
2026,11,1206,Florida,1,0,13,5,651,16,1
2026,11,1214,Alabama,4,0,13,5,571,17,1
2026,11,1209,Clemson,8,0,16,3,449,18,1
2026,11,1193,Kansas,4,0,13,5,305,19,1
2026,11,1212,Arkansas,4,0,13,5,298,20,1
2026,11,1204,Georgia,8,0,15,3,263,21,1
2026,11,1180,North Carolina,6,0,14,4,220,22,1
2026,11,1188,Louisville,6,0,13,5,195,23,1
2026,11,1171,Saint Louis,9,0,17,1,187,24,1
2026,11,1185,Miami OH,11,0,19,0,99,25,1
2026,11,,Seton Hall,,,,,0,40,0
2026,11,1154,Utah St.,9,0,,,15,31,0
2026,11,1163,Tennessee,6,0,,,20,30,0
2026,11,,George Mason,,,,,10,33,0
2026,11,1195,Iowa,9,0,,,30,28,0
2026,11,1191,Kentucky,7,0,,,27,29,0
2026,11,1186,Miami FL,7,0,,,10,33,0
2026,11,1179,North Carolina St.,11,0,,,1,39,0
2026,11,1170,Saint Mary's,7,0,,,5,35,0
2026,11,1167,SMU,11,0,,,3,36,0
2026,11,1165,St. John's,5,0,,,64,26,0
2026,11,1160,Texas A&M,10,0,,,2,38,0
2026,11,1157,UCF,10,0,,,14,32,0
2026,11,1151,Villanova,8,0,,,3,36,0
2026,11,1149,Wisconsin,5,0,,,64,26,0
2026,12,1213,Arizona,1,0,20,0,1500,1,1
2026,12,1208,Connecticut,2,0,19,1,1402,2,1
2026,12,1184,Michigan,1,0,18,1,1379,3,1
2026,12,1207,Duke,1,0,18,1,1326,4,1
2026,12,1181,Nebraska,4,0,20,0,1283,5,1
2026,12,1203,Gonzaga,3,0,21,1,1097,6,1
2026,12,1183,Michigan St.,3,0,18,2,1072,7,1
2026,12,1194,Iowa St.,2,0,18,2,1070,8,1
2026,12,1196,Illinois,3,0,17,3,1060,9,1
2026,12,1199,Houston,2,0,17,2,983,10,1
2026,12,1159,Texas Tech,5,0,16,4,939,11,1
2026,12,1173,Purdue,2,0,17,3,864,12,1
2026,12,1211,BYU,6,0,17,2,837,13,1
2026,12,1193,Kansas,4,0,15,5,614,14,1
2026,12,1212,Arkansas,4,0,15,5,568,15,1
2026,12,1180,North Carolina,6,0,16,4,528,16,1
2026,12,1150,Virginia,3,0,16,3,509,17,1
2026,12,1153,Vanderbilt,5,0,17,3,497,18,1
2026,12,1206,Florida,1,0,14,6,389,19,1
2026,12,1188,Louisville,6,0,14,5,297,20,1
