YEAR,TEAM NO,TEAM,SEED,ROUND,TR RANK,TR RATING,V 1-25 WINS,V 1-25 LOSS,V 26-50 WINS,V 26-50 LOSS,V 51-100 WINS,V 51-100 LOSS,HI,LO,LAST
2025,1137,Clemson,5,64,29,16.5,2,0,1,0,3,2,26,77,30
2025,1136,Colorado St.,12,32,50,13.3,0,0,2,0,2,1,41,190,49
2025,1135,Connecticut,8,32,23,17.7,2,1,2,1,4,0,5,120,23
2025,1134,Creighton,9,32,32,16.2,3,1,2,0,4,1,14,151,32
2025,1133,Drake,11,32,97,5.6,0,0,0,0,1,1,59,128,97
2025,1132,Duke,1,4,1,28.5,1,0,2,0,5,0,1,22,1
2025,1131,Florida,1,1,4,26.1,2,1,4,0,2,0,4,138,4
2025,1130,Georgia,9,64,26,17.2,2,2,1,1,3,0,18,325,25
2025,1129,Gonzaga,8,32,11,22,1,0,0,0,3,2,1,19,11
2025,1128,Grand Canyon,13,64,91,6.2,0,0,0,0,2,0,52,241,91
2025,1127,High Point,13,64,79,8.1,0,0,0,0,1,0,23,154,79
2025,1126,Houston,1,2,3,27.9,4,1,3,0,3,0,1,4,3
2025,1125,Illinois,6,32,15,20.4,3,3,2,0,2,1,4,29,15
2025,1124,Iowa St.,3,32,9,22.7,4,1,2,0,3,1,5,49,8
2025,1123,Kansas,7,64,17,20.2,2,2,1,1,6,0,4,39,17
2025,1122,Kentucky,3,16,7,22.7,3,2,2,1,2,0,6,40,7
2025,1121,Liberty,12,64,106,4.4,0,0,0,0,0,0,75,282,105
2025,1120,Lipscomb,14,64,108,4.2,0,0,0,0,0,0,98,211,108
2025,1119,Louisville,8,64,49,13.3,0,2,3,1,3,0,5,91,50
2025,1118,Marquette,7,64,21,18.4,2,2,2,1,5,0,10,39,21
2025,1117,Maryland,4,16,12,21.9,2,2,1,0,5,0,7,52,12
2025,1116,McNeese St.,12,32,83,7.6,0,0,0,0,0,1,47,147,83
2025,1115,Memphis,5,64,66,10.4,1,0,1,1,1,1,28,86,66
2025,1114,Michigan,5,16,31,16.5,1,3,2,0,4,0,2,35,31
2025,1113,Michigan St.,2,8,19,19.8,3,0,3,1,1,0,18,53,19
2025,1112,Mississippi,6,16,47,13.5,2,2,2,1,2,0,28,139,48
2025,1111,Mississippi St.,8,64,37,14.7,1,4,2,1,2,0,10,41,37
2025,1110,Missouri,6,64,22,17.9,2,2,3,0,3,0,22,166,22
2025,1109,Montana,14,64,191,-1.5,0,0,0,0,0,0,186,324,191
2025,1108,Mount St. Mary's,16,64,295,-8.1,0,0,0,0,0,0,251,334,295
2025,1107,Nebraska Omaha,15,64,205,-2.6,0,0,0,0,0,0,205,360,205
2025,1106,New Mexico,10,32,55,12.3,0,0,4,0,2,0,49,173,55
2025,1105,Norfolk St.,16,64,176,-0.5,0,0,0,0,0,0,57,244,176
2025,1104,North Carolina,11,64,35,15,0,2,1,0,3,1,8,136,35
2025,1103,Oklahoma,9,64,53,12.4,1,3,2,1,2,1,31,85,53
2025,1102,Oregon,5,32,41,14.2,1,3,1,0,3,1,30,78,41
2025,1101,Purdue,4,16,10,22.1,3,1,2,1,5,0,7,73,10
2025,1100,Robert Morris,15,64,189,-1.3,0,0,0,0,0,0,188,316,189
2025,1099,Saint Francis,16,68,269,-6.6,0,0,0,0,0,0,174,353,268
2025,1098,Saint Mary's,7,32,60,11.3,1,0,0,1,4,0,43,127,60
2025,1097,San Diego St.,11,68,67,10.1,0,1,2,1,3,0,63,150,67
2025,1096,SIU Edwardsville,16,64,223,-3.4,0,0,0,0,0,0,70,319,223
2025,1095,St. John's,2,32,24,17.4,2,0,4,0,6,0,14,42,27
2025,1094,Tennessee,2,8,8,22.7,3,1,4,0,1,0,5,86,9
2025,1093,Texas,11,68,45,13.9,3,4,0,2,0,1,16,156,45
2025,1092,Texas A&M,4,32,20,19.6,1,2,4,1,3,0,16,154,20
2025,1091,Texas Tech,3,8,14,20.8,2,2,1,0,5,1,11,116,14
2025,1090,Troy,14,64,143,1.5,0,0,0,0,0,1,76,195,143
2025,1089,UC San Diego,12,64,51,12.8,0,0,0,0,0,0,43,235,51
2025,1088,UCLA,7,32,16,20.3,2,0,3,1,2,0,12,26,16
2025,1087,UNC Wilmington,14,64,109,4.1,0,0,0,0,0,0,60,233,109
2025,1086,Utah St.,10,64,36,14.8,0,0,2,0,2,2,5,135,36
2025,1085,Vanderbilt,10,64,39,14.5,3,1,2,2,1,0,25,108,39
2025,1084,VCU,11,64,33,15.9,0,0,0,0,2,1,27,119,33
2025,1083,Wisconsin,3,32,25,17.3,2,0,2,3,2,0,21,103,24
2025,1082,Wofford,15,64,179,-0.6,0,0,0,0,0,0,40,179,179
2025,1081,Xavier,11,64,34,15.2,1,2,2,0,5,0,33,234,34
2025,1080,Yale,13,64,56,12.2,0,0,0,0,0,0,29,116,56
2024,1079,Akron,14,64,102,5.4,0,0,0,0,1,0,30,158,102
2024,1078,Alabama,4,4,4,24.7,2,1,1,1,4,0,2,24,4
2024,1077,Arizona,2,16,2,28.6,3,0,0,1,5,0,1,13,2
2024,1076,Auburn,4,64,9,20.6,1,1,1,0,6,0,6,155,9
2024,1075,Baylor,3,32,12,19.9,3,1,5,1,0,0,7,298,12
2024,1074,Boise St.,10,68,44,12.6,0,0,3,0,1,3,39,286,44
2024,1073,BYU,6,64,8,21.1,2,1,4,1,1,0,3,31,8
2024,1072,Clemson,6,8,40,13.3,0,1,2,1,4,1,13,46,40
2024,1071,Colgate,14,64,124,3.3,0,0,0,0,0,0,64,302,124
2024,1070,College of Charleston,13,64,137,2.3,0,0,0,0,2,0,88,252,137
2024,1069,Colorado,10,32,20,16.7,1,1,1,0,5,0,16,54,20
2024,1068,Colorado St.,10,64,48,11.7,1,1,3,0,2,1,24,89,48
