YEAR,TEAM NO,TEAM,SEED,ROUND,RPPF PRESEASON RANK,PRESEASON RPPF RATING,RPPF RATING CHANGE RANK,RPPF RATING CHANGE,RPPF RATING RANK CHANGE RANK
2025,1119,Louisville,8,64,157,0.6345,9,0.2326,138
2025,1118,Marquette,7,64,11,0.8837,204,-0.0274,-15
2025,1117,Maryland,4,16,31,0.8382,91,0.0683,22
2025,1116,McNeese St.,12,32,269,0.4685,1,0.3102,207
2025,1115,Memphis,5,64,28,0.8422,223,-0.0404,-20
2025,1114,Michigan,5,16,53,0.7875,74,0.0839,36
2025,1113,Michigan St.,2,8,9,0.8904,178,-0.007,-5
2025,1112,Mississippi,6,16,62,0.7739,77,0.0827,37
2025,1111,Mississippi St.,8,64,41,0.8158,122,0.0347,13
2025,1110,Missouri,6,64,44,0.806,94,0.0631,26
2025,1109,Montana,14,64,159,0.6304,161,0.0037,17
2025,1108,Mount St. Mary's,16,64,185,0.5898,278,-0.1019,-62
2025,1107,Nebraska Omaha,15,64,284,0.4388,16,0.2034,144
2025,1106,New Mexico,10,32,46,0.8027,128,0.0261,9
2025,1105,Norfolk St.,16,64,248,0.4995,85,0.0781,70
2025,1104,North Carolina,11,64,13,0.8814,231,-0.0447,-20
2025,1103,Oklahoma,9,64,67,0.7688,97,0.0593,29
2025,1102,Oregon,5,32,34,0.8281,150,0.0121,3
2025,1101,Purdue,4,16,2,0.9565,281,-0.1031,-25
2025,1100,Robert Morris,15,64,285,0.4378,28,0.1662,129
2025,1099,Saint Francis,16,68,360,0.2338,31,0.1608,50
2025,1098,Saint Mary's,7,32,25,0.8482,152,0.0103,1
2025,1097,San Diego St.,11,68,26,0.8447,230,-0.0444,-24
2025,1096,SIU Edwardsville,16,64,231,0.5266,158,0.0066,13
2025,1095,St. John's,2,32,52,0.79,63,0.1014,40
2025,1094,Tennessee,2,8,7,0.9007,139,0.0177,0
2025,1093,Texas,11,68,15,0.8706,226,-0.0433,-24
2025,1092,Texas A&M,4,32,16,0.8697,173,-0.0028,-4
